安徽正德人力资源咨询有限公司, 数据处理员,绩效奖金/全勤奖/包住/五险,CZ202766620,10000人以上,3千-5千,合肥,本科,1年以下,民营,https://special.zhaopin.com/Flying/Society/20191012/20276662_14575524_ZL29170,http://jobs.zhaopin.com/CC202766621J00342423907.htm,CC202766621J00342423907,664
科大讯飞股份有限公司,数据分析师-智慧城市BG-合肥,五险一金/绩效奖金/餐补/通讯补助/带薪年假/定期体检/节日福利,CZ205108410,1000-9999人,1.2万-2.4万,合肥,本科,3-5年,股份制企业,http://special.zhaopin.com/2016/hf/kdxf031862,http://jobs.zhaopin.com/CC205108417J00194096702.htm,CC205108417J00194096702,664
金阳(安徽)环保科技股份有限公司,生产统计员,全勤奖/包住/包吃/带薪年假/节日福利/免费班车/缴纳社保,CZ717126140,1000-9999人,3千-4.5千,合肥,中专,1-3年,股份制企业,http://company.zhaopin.com/CZ717126140.htm,http://jobs.zhaopin.com/CZ717126140J00096220407.htm,CZ717126140J00096220407,664
安徽讯和电子科技有限责任公司,技术支持工程师,五险一金/绩效奖金/年终分红/包吃/通讯补助/弹性工作/定期体检/节日福利,CZ203938220,20人以下,5千-1万,合肥,本科,5-10年,民营,http://company.zhaopin.com/CC203938229.htm,http://jobs.zhaopin.com/CZ203938220J00027505807.htm,CZ203938220J00027505807,664
科大讯飞股份有限公司,声纹库效果运维-核心研发平台-合肥,五险一金/周末双休/餐补/带薪年假/节日福利/免费班车/定期体检/绩效奖金,CZ205108410,1000-9999人,4千-5千,合肥,本科,不限,股份制企业,http://special.zhaopin.com/2016/hf/kdxf031862,http://jobs.zhaopin.com/CC205108417J00290019902.htm,CC205108417J00290019902,664
安徽乐家网络科技有限公司,产品培训师,五险一金/年底双薪/绩效奖金/餐补/弹性工作/节日福利/创业公司,CZ377230430,100-499人,4千-6千,合肥,大专,3-5年,民营,http://company.zhaopin.com/CZ377230430.htm,http://jobs.zhaopin.com/CC377230432J00283742804.htm,CC377230432J00283742804,664
安徽人和市场研究咨询有限公司,研究员,五险一金/绩效奖金/年终分红/全勤奖/包吃/交通补助/餐补/带薪年假,CZ371355430,100-499人,6千-9千,合肥,本科,1-3年,民营,http://company.zhaopin.com/CC371355435.htm,http://jobs.zhaopin.com/CC371355435J00339077208.htm,CC371355435J00339077208,664
安徽人和市场研究咨询有限公司,研究员,五险一金/绩效奖金/年终分红/全勤奖/包吃/交通补助/餐补/带薪年假,CZ371355430,100-499人,6千-9千,合肥,本科,1-3年,民营,http://company.zhaopin.com/CC371355435.htm,http://jobs.zhaopin.com/CC371355435J00339077208.htm,CC371355435J00339077208,664
安徽阳光信通电子科技有限公司,A银行项目实习生（包住+五险一金+发展好）,节日福利/五险一金/绩效奖金/餐补/全勤奖/带薪年假,CZ503241220,500-999人,5千-8千,合肥,大专,不限,民营,http://special.zhaopin.com/pagepublish/50324122/index.html,http://jobs.zhaopin.com/CC503241227J00316869203.htm,CC503241227J00316869203,664
深圳市长亮科技股份有限公司,银行数据分析岗,五险一金/年终分红/通讯补助/带薪年假/定期体检/免费班车/节日福利/餐补,CZ120564550,1000-9999人,1万-2万,合肥,本科,不限,上市公司,http://company.zhaopin.com/CZ120564550.htm,http://jobs.zhaopin.com/CC120564559J00288265208.htm,CC120564559J00288265208,664
安徽正德人力资源咨询有限公司, 数据处理员,绩效奖金/全勤奖/包住/五险,CZ202766620,10000人以上,3千-5千,合肥,本科,1年以下,民营,https://special.zhaopin.com/Flying/Society/20191012/20276662_14575524_ZL29170,http://jobs.zhaopin.com/CC202766621J00342423907.htm,CC202766621J00342423907,664
